City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,la tuque,47.4334,-72.7824,-3.86,54,100,5.66,CA,1743521237
160,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,68,40,2.0,RU,1743521239
161,kavaratti,10.5669,72.642,28.4,70,74,4.15,IN,1743521240
162,eldorado,-23.7869,-54.2836,26.64,76,80,1.83,BR,1743521241
163,nyurba,63.2842,118.3319,-10.75,95,96,1.67,RU,1743521243
164,susuman,62.7833,148.1667,-22.35,100,49,1.05,RU,1743521244
165,perry,37.2506,-83.1999,8.56,67,60,2.27,US,1743521246
166,kolonia,50.9333,6.95,14.95,41,0,5.66,DE,1743520961
167,el calafate,-50.3408,-72.2768,5.96,77,81,5.89,AR,1743521248
168,thompson,55.7435,-97.8558,-14.91,47,75,1.54,CA,1743521249
169,uturoa,-16.7333,-151.4333,28.13,76,99,7.73,PF,1743521251
170,gopalpur,19.2667,84.9167,27.1,77,3,8.17,IN,1743521252
171,brisas de zicatela,15.8369,-97.0419,27.29,69,75,1.54,MX,1743521253
172,labrador city,52.9463,-66.9114,-8.05,73,100,2.57,CA,1743521255
173,la passe,45.5549,-0.8967,17.03,53,0,8.88,FR,1743521256
174,hirara,24.8,125.2833,19.15,77,100,8.75,JP,1743521257
175,clocolan,-28.9137,27.5656,14.09,85,100,2.32,ZA,1743521259
176,fort bragg,35.139,-79.006,17.04,60,100,4.63,US,1743521260
177,udachny,66.4167,112.4,-17.07,99,80,0.93,RU,1743521262
178,afaahiti,-17.75,-149.2833,26.55,78,62,7.28,PF,1743521263
179,manaure,11.7751,-72.4445,31.24,55,100,6.39,CO,1743521264
180,wailua homesteads,22.0669,-159.378,23.44,90,75,5.66,US,1743521266
181,port alfred,-33.5906,26.891,21.21,77,100,1.79,ZA,1743521267
182,eureka,40.8021,-124.1637,8.12,96,100,0.89,US,1743520985
183,road town,18.4167,-64.6167,28.02,69,75,6.69,VG,1743521269
184,lower hutt,-41.2167,174.9167,15.95,88,100,4.63,NZ,1743521271
185,jamestown,42.097,-79.2353,0.57,79,100,5.14,US,1743521147
186,piacabucu,-10.4056,-36.4344,29.79,59,100,5.12,BR,1743521273
187,bela,25.9333,81.9833,28.32,8,0,3.25,IN,1743521275
188,myeik,12.4333,98.6,27.28,78,72,1.33,MM,1743521276
189,bata,1.8639,9.7658,30.92,74,20,3.6,GQ,1743521070
190,bilibino,68.0546,166.4372,-18.44,98,100,0.75,RU,1743521278
191,flying fish cove,-10.4217,105.6791,24.82,94,4,1.54,CX,1743521280
192,touros,-5.1989,-35.4608,30.77,58,92,7.81,BR,1743521281
193,toliara,-23.35,43.6667,27.14,74,0,3.64,MG,1743521282
194,pionerskiy,54.9508,20.2275,3.91,90,79,6.56,RU,1743521284
195,colares,38.7992,-9.4469,19.1,79,40,5.66,PT,1743521285
196,lefkada,38.8275,20.7019,18.95,63,75,3.6,GR,1743521286
197,surgut,61.25,73.4167,-3.9,68,0,2.0,RU,1743521069
198,arawa,-6.2132,155.5367,25.19,92,17,1.02,PG,1743521289
199,kittila,67.6647,24.8936,5.08,52,0,2.06,FI,1743521290
200,tralee,52.2704,-9.7026,15.14,51,0,10.8,IE,1743521292
201,xiangtan,27.85,112.9,15.34,52,71,1.15,CN,1743521293
202,chonchi,-42.6128,-73.8092,13.95,72,85,1.35,CL,1743521294
203,polyarnyy,69.1989,33.4478,-1.05,88,91,1.82,RU,1743521295
204,salinas,36.6777,-121.6555,10.6,97,98,1.79,US,1743521273
205,sao felipe,-14.8167,-41.3833,33.02,37,53,4.63,BR,1743521298
206,posto fiscal rolim de moura,-13.0833,-62.2667,25.31,95,94,2.41,BR,1743521299
207,vorgashor,67.5833,63.95,-11.67,99,100,1.79,RU,1743521301
208,khandyga,62.6667,135.6,-8.62,84,100,2.56,RU,1743521302
209,la'ie,21.6477,-157.9253,24.66,80,100,3.7,US,1743521303
210,ha'il,27.5219,41.6907,31.01,15,0,5.14,SA,1743521304
211,weno,7.4515,151.8468,27.53,83,95,8.13,FM,1743521306
212,tyazhinskiy,56.116,88.524,2.86,97,100,5.34,RU,1743521307
213,sefaatli,39.5043,34.7563,13.8,43,100,7.14,TR,1743521308
214,bulayevo,54.9056,70.4439,3.49,83,100,2.46,KZ,1743521309
215,vadso,70.0744,29.7487,0.09,74,0,2.06,NO,1743521311
216,megion,61.0296,76.1136,-2.99,82,46,3.59,RU,1743521312
217,corner brook,48.9667,-57.9484,3.16,100,100,1.82,CA,1743521314
218,sungai raya,0.7,108.9,26.2,83,100,0.43,ID,1743521315
219,dunedin,-45.8742,170.5036,12.93,86,100,5.56,NZ,1743521316
220,saldanha,-33.0117,17.9442,17.69,73,0,8.64,ZA,1743521317
221,gallup,35.5281,-108.7426,8.91,49,40,12.35,US,1743521319
222,okoneshnikovo,54.8377,75.0834,1.32,92,100,3.57,RU,1743521320
223,lake munmorah,-33.1936,151.5719,18.2,80,100,5.44,AU,1743521321
224,sabang,5.8933,95.3214,28.44,73,99,2.38,ID,1743521323
225,punta del este,-34.9667,-54.95,21.06,75,75,6.69,UY,1743521132
226,mili,6.0815,171.735,27.74,77,35,8.03,MH,1743521326
227,ribeira grande,38.5167,-28.7,14.22,51,40,11.62,PT,1743521327
228,arinos,-15.9169,-46.1056,32.43,34,64,2.31,BR,1743521329
229,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1743521331
230,lorengau,-2.0226,147.2712,26.92,80,100,1.48,PG,1743521335
231,fengxiang,47.5833,130.8333,-1.51,99,100,4.65,CN,1743521336
232,cidreira,-30.1811,-50.2056,21.68,86,100,6.27,BR,1743521337
233,nola,40.922,14.5329,14.46,73,82,3.38,IT,1743521339
234,mount isa,-20.7333,139.5,23.87,94,100,5.14,AU,1743521340
235,lazaro cardenas,17.9583,-102.2,24.47,68,11,0.68,MX,1743521193
236,west bay,19.3667,-81.4167,29.04,74,40,5.14,KY,1743521343
237,makedonska kamenica,42.02,22.5919,8.06,82,100,6.12,MK,1743521344
238,tidjikja,18.5564,-11.4271,36.94,12,8,0.53,MR,1743521345
239,novi vinodolski,45.1281,14.7889,13.47,50,40,4.63,HR,1743521347
240,puerto baquerizo moreno,-0.9,-89.6,28.55,84,40,1.03,EC,1743521348
241,luderitz,-26.6481,15.1594,22.64,54,0,14.15,NA,1743521351
242,kruisfontein,-34.0033,24.7314,18.89,62,98,6.61,ZA,1743521352
243,callaway,30.153,-85.5699,24.97,86,0,1.34,US,1743521353
244,peterhead,57.5058,-1.7981,10.17,68,77,8.87,GB,1743521355
245,al artawiyah,26.5053,45.3444,34.23,16,73,3.44,SA,1743521356
246,constantia,44.1833,28.65,9.38,91,100,5.19,RO,1743521357
247,mana,5.6592,-53.7767,24.58,93,100,3.78,GF,1743521359
248,kailua-kona,19.6406,-155.9956,22.53,84,29,0.89,US,1743521360
249,chongwe,-15.3292,28.682,27.32,81,97,2.32,ZM,1743521361
250,cabo san lucas,22.8909,-109.9124,26.17,25,0,1.03,MX,1743521363
251,margate,51.3813,1.3862,10.49,75,0,1.34,GB,1743521364
252,el granada,37.5027,-122.4694,11.43,89,75,4.63,US,1743521365
253,port saint john's,-31.6229,29.5448,22.96,85,100,7.15,ZA,1743521368
254,hithadhoo,-0.6,73.0833,28.33,74,6,2.05,MV,1743521370
255,akureyri,65.6835,-18.0878,7.96,39,20,4.63,IS,1743521335
256,vilyuchinsk,52.9306,158.4028,-4.85,85,14,2.94,RU,1743521372
257,nianzishan,47.5167,122.8833,-0.76,88,18,2.02,CN,1743521373
258,santanyi,39.3546,3.1291,16.89,56,0,2.11,ES,1743521375
259,gadzhiyevo,69.2551,33.3362,-1.38,88,90,2.2,RU,1743521376
260,cockburn town,21.4612,-71.1419,26.07,78,0,8.7,TC,1743521377
261,chilmari,25.5559,89.6715,28.8,30,4,1.87,BD,1743521379
262,dedza,-14.3779,34.3332,17.8,94,38,1.8,MW,1743521380
263,rio grande,-32.035,-52.0986,21.92,68,99,6.11,BR,1743521381
264,carnarvon,-24.8667,113.6333,26.37,81,71,8.22,AU,1743521383
265,avallon,47.4833,3.9,12.6,55,19,9.13,FR,1743521384
266,san felipe,10.3399,-68.7425,28.62,61,62,2.82,VE,1743521387
267,devils lake,48.1128,-98.8651,-2.81,91,100,10.29,US,1743521389
268,quzhou,28.9594,118.8686,11.23,66,100,0.54,CN,1743521186
269,san patricio,28.017,-97.5169,23.97,92,93,5.12,US,1743521393
270,usinsk,65.9939,57.5281,-2.0,97,100,6.87,RU,1743521394
271,tartagal,-22.5164,-63.8013,17.19,39,30,2.73,AR,1743521187
272,sedrata,36.1287,7.5338,13.37,60,77,5.49,DZ,1743521397
273,cambria,35.5641,-121.0808,8.92,90,43,0.89,US,1743521207
